,NAME_LATN,precipitation_average,temperature_average,wind_speed_average
0,Sofia,54.085565476190474,7.917373890678088,2.91591215133667
1,Burgas,47.589531680440764,11.84158518910408,2.929848790168762
2,Dobrich,41.550632911392405,11.072057226051887,3.5600821574529014
3,Shumen,47.43396226415094,10.667516499757767,2.7664653062820435
4,Lovech,52.512077294686,9.579293022553125,2.5663079222043357
5,Veliko Tarnovo,49.03354978354978,11.425286635756493,2.4998624523480735
6,Pleven,46.724637681159415,11.624749059478441,2.2175024648507438
7,Varna,44.034946236559136,11.17920837799708,3.282814641793569
8,Vidin,51.595238095238095,10.161022427181402,2.3126530249913535
9,Montana,50.97033898305085,10.345204984148344,2.4027202328046164
10,Targovishte,50.05357142857142,10.900712475180626,2.6894623239835105
11,Vratsa,48.61925287356323,10.996909302969774,2.2094927628835044
12,Blagoevgrad,48.48019801980198,8.723246935755014,2.613755742708842
13,Pernik,52.9465811965812,8.18156977991263,2.9252756237983704
14,Plovdiv,48.799479166666664,10.585003595799208,2.3418506483236947
15,Kyustendil,50.04891304347826,8.109428231914839,2.8339003324508667
16,Kardzhali,50.82482993197279,11.33291471004486,2.3094557722409568
17,Gabrovo,52.56989247311828,10.062855462233225,2.6293843388557434
18,Stara Zagora,50.14939024390244,11.155939339349667,2.3959919214248657
19,Sofia (stolitsa),52.75,8.77375972022613,2.694511910279592
20,Razgrad,48.07936507936507,10.866910437742868,2.7854801019032798
21,Pazardzhik,50.893229166666664,8.819176609317461,2.5912917057673135
22,Smolyan,55.663461538461526,8.143776794274649,2.8320400516192117
23,Silistra,43.69074074074073,10.98802681763967,2.8501166303952536
24,Haskovo,48.73795180722892,12.207570314407349,2.1261104146639505
25,Sliven,51.16666666666666,11.061426741381487,2.5553889075915017
26,Yambol,48.25454545454545,12.251204699277878,2.2246075371901193
27,Ruse,48.0406976744186,11.47723600268364,2.5516066352526345
